Pt.x,Pt.y,Id
32.036,1436.579,0
61.123,1767.49,1
61.293,1519.18,2
67.294,1772.967,3
74.644,1512.75,4
84.566,1697.382,5
87.037,1888.146,6
88.768,1530.642,7
90.6,1843.76,8
98.266,2170.56,9
104.472,1957.397,10
110.093,1290.425,11
116.712,1814.404,12
122.358,1842.093,13
123.615,1850.346,14
125.757,1888.364,15
136.32,2295.111,16
137.066,1844.52,17
145.293,1921.586,18
147.368,1906.517,19
154.511,1913.297,20
166.457,1912.804,21
168.337,1894.859,22
170.189,2590.224,23
176.336,1913.064,24
190.222,1239.12,25
192.435,1333.981,26
200.303,1238.62,27
201.825,2584.134,28
203.011,1243.259,29
203.776,2786.574,30
205.646,1875.823,31
215.258,1856.734,32
216.411,1232.563,33
224.486,2615.634,34
232.945,2711.583,35
242.63,1991.264,36
245.07,1548.023,37
248.004,2489.781,38
248.256,2688.294,39
249.873,2476.404,40
264.062,2505.426,41
266.234,2463.384,42
269.995,1582.426,43
273.941,2455.236,44
279.199,2370.648,45
284.579,2341.962,46
286.606,1238.204,47
286.854,2858.415,48
287.204,2852.01,49
295.913,2611.875,50
300.08,2375.793,51
303.811,2610.888,52
305.894,2350.908,53
307.507,2695.056,54
310.871,2531.676,55
316.884,1275.674,56
318.956,4004.217,57
319.918,2628.528,58
321.779,2378.46,59
326.132,3807.363,60
326.437,2389.569,61
327.197,2552.697,62
327.995,2350.908,63
328.125,2430.75,64
330.011,2543.541,65
330.985,3952.263,66
331.428,2316.363,67
332.065,2578.17,68
333.014,3958.395,69
333.119,2357.355,70
339.551,2342.424,71
341.147,2576.784,72
342.096,3810.387,73
346.028,2306.136,74
346.189,3809.589,75
350.517,3695.055,76
352.271,3683.484,77
352.321,3953.313,78
352.472,1393.919,79
360.146,3848.355,80
360.868,3869.313,81
364.346,3828.636,82
365.835,2614.689,83
372.107,4123.245,84
381.547,3799.131,85
389.357,3957.324,86
391.453,3721.956,87
392.48,2564.94,88
396.362,4162.053,89
401.644,3792.873,90
402.056,4140.318,91
403.15,3849.636,92
404.685,4103.568,93
406.48,2460.066,94
407.759,3734.997,95
409.548,3878.175,96
411.044,4139.058,97
412.23,3793.755,98
415.391,4124.946,99
417.306,2510.256,100
417.759,2577.246,101
418.952,4159.302,102
420.176,4106.34,103
421.029,2459.814,104
422.064,3798.249,105
423.786,3869.649,106
426.149,2582.979,107
427.524,3956.61,108
428.608,2465.064,109
429.406,4175.997,110
430.601,3782.793,111
430.834,1234.548,112
433.432,1319.819,113
434.324,3773.658,114
435.046,4049.157,115
435.175,2597.553,116
436.863,3854.739,117
439.902,3763.074,118
441.3,4152.141,119
441.42,2476.236,120
444.935,3781.071,121
445.005,4028.094,122
445.897,3914.211,123
447.506,2491.125,124
448.035,3762.234,125
448.946,2516.913,126
451.162,1246.631,127
454.083,3240.111,128
454.222,2445.723,129
455.07,3785.754,130
456.393,4021.395,131
459.106,2468.004,132
459.302,2593.269,133
462.359,4124.589,134
463.917,3796.884,135
