Pt.x,Pt.y,Id
59.879,2212.413,0
94.167,2524.095,1
90.831,2291.352,2
100.94,2530.668,3
104.461,2283.498,4
116.621,2461.578,5
120.697,2647.764,6
117.957,2304.75,7
124.142,2606.142,8
102.378,3057.6,9
136.219,2724.729,10
142.513,2047.288,11
149.083,2579.031,12
154.793,2606.415,13
156.624,2615.025,14
157.712,2656.101,15
133.624,3215.961,16
169.316,2609.355,17
178.045,2689.575,18
179.377,2674.749,19
186.301,2681.238,20
198.789,2680.545,21
200.807,2662.002,22
162.701,3536.295,23
209.192,2680.776,24
229.049,1974.584,25
225.532,2098.171,26
239.289,1974.393,27
196.609,3532.662,28
242.138,1980.38,29
198.494,3729.768,30
239.537,2640.183,31
250.761,2615.571,32
256.051,1967.48,33
217.482,3563.679,34
227.321,3656.121,35
278.34,2750.517,36
283.695,2292.108,37
243.558,3429.783,38
242.682,3632.244,39
245.144,3415.923,40
257.38,3452.358,41
261.704,3401.811,42
308.543,2328.9,43
269.892,3392.403,44
275.663,3302.88,45
282.803,3269.574,46
326.636,1977.566,47
283.149,3795.813,48
283.04,3789.45,49
291.98,3551.079,50
297.837,3306.639,51
300.562,3549.084,52
304.508,3280.368,53
305.178,3631.635,54
307.583,3468.948,55
356.282,2019.599,56
330.824,4977.798,57
316.985,3567.753,58
319.763,3310.377,59
318.066,4779.243,60
324.366,3322.221,61
326.672,3489.423,62
326.516,3280.095,63
326.256,3363.36,64
327.283,3479.532,65
323.051,4925.046,66
331.189,3238.578,67
331.344,3513.006,68
325.317,4930.947,69
332.321,3287.529,70
339.196,3269.91,71
343.361,3511.137,72
334.547,4781.322,73
346.685,3226.188,74
337.898,4780.566,75
346.179,4648.644,76
348.159,4636.296,77
345.969,4924.752,78
392.958,2136.204,79
352.932,4818.303,80
353.562,4840.08,81
358.388,4798.983,82
364.501,3546.606,83
364.944,5094.264,84
373.995,4768.071,85
383.275,4927.818,86
388.286,4675.986,87
389.943,3494.232,88
389.909,5133.87,89
395.386,4759.608,90
395.048,5110.413,91
397.207,4817.127,92
397.721,5074.23,93
406.768,3389.463,94
404.76,4693.332,95
402.503,4844.7,96
405.185,5108.208,97
406.327,4759.902,98
409.147,5094.516,99
417.866,3440.136,100
418.478,3505.425,101
413.169,5129.586,102
414.059,5076.561,103
421.539,3388.245,104
416.73,4764.123,105
417.797,4836.909,106
427.375,3509.625,107
420.693,4929.267,108
429.188,3393.579,109
423.564,5145.714,110
425.076,4747.659,111
471.86,1977.86,112
472.387,2074.353,113
429.341,4737.621,114
429.677,5018.328,115
436.504,3522.414,116
432.138,4820.802,117
435.511,4726.071,118
436.466,5120.871,119
442.136,3403.596,120
439.662,4746.126,121
439.221,4996.53,122
439.921,4884.789,123
448.697,3418.758,124
443.295,4725.021,125
450.33,3442.362,126
493.212,1989.065,127
471.776,4100.019,128
455.736,3371.802,129
450.217,4749.297,130
451.162,4989.432,131
460.79,3394.083,132
462.588,3515.043,133
457.525,5092.038,134
459.942,4761.162,135
465.954,3379.404,136
461.089,5076.099,137
468.747,3452.61,138
468.006,3395.469,139
461.677,4799.76,140
465.108,4768.785,141
515.558,1965.688,142
468.743,5043.318,143
