
#==========================================================================================
#                     CONVERSION DE COORDONNEES
#==========================================================================================

#------------------------------------------------------------------------------------------
#        representation des coordonnees terrain : epsg :   4326 - GeoView : GEOGRAPH_G96
#------------------------------------------------------------------------------------------

#------------------------------------------------------------------------------------------
#           Point                ligne            colonne                     X                  Y                Z 
#------------------------------------------------------------------------------------------
<Pt>                                  1.513803452862e+02     2.690404564172e+02       1.652379032851e+01   2.082487117806e+01   2.190411000000e+03
<Pt>                                  1.513803712269e+02     2.690460131485e+02       1.652202300519e+01   2.082076297601e+01   9.224110000000e+02
<Pt>                                  7.594000765051e+03     2.690377855334e+02       1.652388742985e+01   2.070770576990e+01   2.190411000000e+03
<Pt>                                  7.594000461414e+03     2.690374090409e+02       1.652216921230e+01   2.070356861309e+01   9.224110000000e+02
<Pt>                                  1.503661884433e+04     2.690374127335e+02       1.652397902079e+01   2.059039961977e+01   2.190411000000e+03
<Pt>                                  1.503661894926e+04     2.690350330265e+02       1.652230986096e+01   2.058623319707e+01   9.224110000000e+02
<Pt>                                  1.513818112374e+02     1.345800476806e+04       1.673372579708e+01   2.083322936446e+01   2.190411000000e+03
<Pt>                                  1.513818950482e+02     1.345799898602e+04       1.673237923705e+01   2.082914204882e+01   9.224110000000e+02
<Pt>                                  7.593998785561e+03     1.345800481323e+04       1.673362474064e+01   2.071585826089e+01   2.190411000000e+03
<Pt>                                  7.593998775553e+03     1.345800484450e+04       1.673232692849e+01   2.071174145855e+01   9.224110000000e+02
<Pt>                                  1.503661868506e+04     1.345799879801e+04       1.673352723824e+01   2.059834264256e+01   2.190411000000e+03
<Pt>                                  1.503661859250e+04     1.345800462814e+04       1.673227812873e+01   2.059419604211e+01   9.224110000000e+02
<Pt>                                  1.513819286992e+02     2.664696110791e+04       1.694200302099e+01   2.084103077297e+01   2.190411000000e+03
<Pt>                                  1.513818209394e+02     2.664696353840e+04       1.694107355616e+01   2.083696217396e+01   9.224110000000e+02
<Pt>                                  7.594000191812e+03     2.664696359377e+04       1.694175668131e+01   2.072345724723e+01   2.190411000000e+03
<Pt>                                  7.594000497993e+03     2.664696401013e+04       1.694087561954e+01   2.071935863004e+01   9.224110000000e+02
<Pt>                                  1.503661684619e+04     2.664697207285e+04       1.694152295424e+01   2.060573543185e+01   2.190411000000e+03
<Pt>                                  1.503661683472e+04     2.664696650255e+04       1.694069025293e+01   2.060160648478e+01   9.224110000000e+02

#========================================================================================
#              DUREE DU TRAITEMENT :     0.014671
#========================================================================================
