
#==========================================================================================
#                     CONVERSION DE COORDONNEES
#==========================================================================================

#------------------------------------------------------------------------------------------
#        representation des coordonnees terrain : epsg :   4326 - GeoView : GEOGRAPH_G96
#------------------------------------------------------------------------------------------

#------------------------------------------------------------------------------------------
#           Point                ligne            colonne                     X                  Y                Z 
#------------------------------------------------------------------------------------------
<Pt>                                  1.613228241041e+02     2.710184508857e+02       1.652244833042e+01   2.083286332459e+01   2.190413000000e+03
<Pt>                                  1.613229480814e+02     2.710251345063e+02       1.652252591233e+01   2.083679400030e+01   9.224130000000e+02
<Pt>                                  8.089999503284e+03     2.710186337626e+02       1.652258809616e+01   2.070924222535e+01   2.190413000000e+03
<Pt>                                  8.089999285675e+03     2.710180938716e+02       1.652271748947e+01   2.071314439340e+01   9.224130000000e+02
<Pt>                                  1.601867810396e+04     2.710230268998e+02       1.652272249265e+01   2.058578915557e+01   2.190413000000e+03
<Pt>                                  1.601867826728e+04     2.710200950959e+02       1.652290364085e+01   2.058966316273e+01   9.224130000000e+02
<Pt>                                  1.613214830300e+02     1.355800123959e+04       1.673008238527e+01   2.083421727838e+01   2.190413000000e+03
<Pt>                                  1.613215331370e+02     1.355799422953e+04       1.673058618885e+01   2.083815069740e+01   9.224130000000e+02
<Pt>                                  8.090001073857e+03     1.355800239789e+04       1.672995300051e+01   2.071086538078e+01   2.190413000000e+03
<Pt>                                  8.090001079342e+03     1.355800241007e+04       1.673050805244e+01   2.071477083448e+01   9.224130000000e+02
<Pt>                                  1.601867729818e+04     1.355799410751e+04       1.672982916999e+01   2.058767739871e+01   2.190413000000e+03
<Pt>                                  1.601867725693e+04     1.355800111022e+04       1.673043541610e+01   2.059155523350e+01   9.224130000000e+02
<Pt>                                  1.613225194580e+02     2.684497941536e+04       1.693809965646e+01   2.083554893142e+01   2.190413000000e+03
<Pt>                                  1.613223490233e+02     2.684498233894e+04       1.693903078302e+01   2.083948500053e+01   9.224130000000e+02
<Pt>                                  8.089999305955e+03     2.684497754628e+04       1.693775909051e+01   2.071246722006e+01   2.190413000000e+03
<Pt>                                  8.089999515227e+03     2.684497806951e+04       1.693874091496e+01   2.071637586630e+01   9.224130000000e+02
<Pt>                                  1.601867874401e+04     2.684498429408e+04       1.693743499523e+01   2.058954531265e+01   2.190413000000e+03
<Pt>                                  1.601867861110e+04     2.684497764662e+04       1.693846746572e+01   2.059342688208e+01   9.224130000000e+02

#========================================================================================
#              DUREE DU TRAITEMENT :     0.013831
#========================================================================================
