#NOM X Y Z dx dy dz
AJ01 717440.177 7590126.95 -6.904 0.01 0.01 0.05
AJ02 717496.14 7590022.546 -7.052 0.01 0.01 0.05
AJ03 718545.771 7590081.904 -5.981 0.01 0.01 0.05
AJ04 718850.215 7589826.004 -5.38 0.01 0.01 0.05
AJ05 719478.278 7589653.059 -6.117 0.01 0.01 0.05
AJ06 720305.549 7589360.12 -6.477 0.01 0.01 0.05
AJ07 721968.467 7587898.069 -6.479 0.01 0.01 0.05
AJ08 723773.566 7586766.357 -7.119 0.01 0.01 0.05
AJ10 725600.071 7586479.856 -7.165 0.01 0.01 0.05
AJ11 726043.78 7586491.487 -6.889 0.01 0.01 0.05
AJ12 726605.597 7586536.128 -6.653 0.01 0.01 0.05
AJ13 727573.145 7586188.11 -6.455 0.01 0.01 0.05
AJ14 724743.106 7580801.41 -4.979 0.01 0.01 0.05
AJ15 724923.909 7580620.632 -3.872 0.01 0.01 0.05
AJ16 724474.16 7580360.691 -6.59 0.01 0.01 0.05
QBB 718260.914 7589885.903 -2.115 0.01 0.01 0.05
RM1 719384.317 7589924.084 -6.306 0.01 0.01 0.05
RM2 719917.635 7589733.574 -6.165 0.01 0.01 0.05
RM3 720546.983 7589475.687 -5.998 0.01 0.01 0.05
RM4 721995.723 7588075.259 -6.921 0.01 0.01 0.05
RM5 723184.775 7587207.603 -6.739 0.01 0.01 0.05
RM6 723872.102 7586988.399 -6.324 0.01 0.01 0.05
RM7 726404.741 7586759.36 -5.823 0.01 0.01 0.05
TOPOSUD1 724255.963 7580229.414 -4.658 0.01 0.01 0.05
TOPOSUD2 723928.911 7580017.907 -4.335 0.01 0.01 0.05
TOUR DP 727710.224 7586071.349 10.139 0.01 0.01 0.05
DENISE 717933.044 7590075.844 10.932 0.001 0.001 0.001
FRANCOISE 720589.251 7589304.485 -2.903 0.001 0.001 0.001
GISELE 721766.166 7588186.97 -2.698 0.001 0.001 0.001
JEANNE 724850.752 7586547.415 -2.18 0.001 0.001 0.001
KATHIE 726864.62 7586493.938 -2.675 0.001 0.001 0.001
KILO 720722.543 7589454.951 -5.066 0.001 0.001 0.001
SIMONE 723963.545 7580298.655 -3.486 0.001 0.001 0.001
TOPO02 726555.596 7586690.09 -3.032 0.001 0.001 0.001
TOPO03 726231.725 7586704.195 -2.992 0.001 0.001 0.001
TOPO04 725876.617 7586719.642 -2.981 0.001 0.001 0.001
TOPO05 725561.709 7586733.348 -2.92 0.001 0.001 0.001
TOPO06 725316.654 7586744.014 -2.937 0.001 0.001 0.001
TOPO07 725086.967 7586754.017 -2.908 0.001 0.001 0.001
TOPO08 724586.738 7586775.802 -2.896 0.001 0.001 0.001
TOPO09 724253.562 7586790.293 -2.889 0.001 0.001 0.001
TOPO10 723531.25 7586952.39 -2.849 0.001 0.001 0.001
TOPO12 723134.399 7587178.816 -2.759 0.001 0.001 0.001
TOPO13 722820.585 7587282.506 -3.068 0.001 0.001 0.001
TOPO14 722392.757 7587654.373 -2.999 0.001 0.001 0.001
TOPO15 722216.081 7587801.708 -4.366 0.001 0.001 0.001
TOPO16 721899.926 7588079.305 -4.32 0.001 0.001 0.001
TOPO17 721703.449 7588328.458 -4.387 0.001 0.001 0.001
TOPO18 721611.416 7588464.569 -4.009 0.001 0.001 0.001
TOPO19 721377.315 7588685.23 -3.506 0.001 0.001 0.001
TOPO20 721229.411 7588811.225 -3.529 0.001 0.001 0.001
TOPO21 720896.991 7589049.902 -2.963 0.001 0.001 0.001
TOPO22 720729.926 7589207.037 -2.737 0.001 0.001 0.001
TOPO25 722604.748 7587464.593 -4.095 0.001 0.001 0.001
VIVIANNE 717420.303 7580788.051 -2.686 0.001 0.001 0.001
JULIET 726748.76 7586870.155 -2 0.001 0.001 1
INDIA 726062.618 7586891.628 -2 0.001 0.001 1
HOTEL 725431.649 7586877.857 -2 0.001 0.001 1
GOLF 725212.323 7586871.619 -2 0.001 0.001 1
FOXTROT 724427.116 7586950.439 -2 0.001 0.001 1
ECHO 723408.283 7587202.612 -2 0.001 0.001 1
DELTA 722966.263 7587397.914 -2 0.001 0.001 1
CHARLIE 722959.187 7587378.824 -2 0.001 0.001 1
6C 722942.825 7587393.226 -2 0.001 0.001 1
BRAVO 722676.903 7587485.539 -2 0.001 0.001 1
ALPHA 722401.397 7587761.448 -2 0.001 0.001 1
OSCAR 722146.435 7588073.3 -2 0.001 0.001 1
NOVEMBER 721903.658 7588332.399 -2 0.001 0.001 1
MIKE 721531.256 7588702.73 -2 0.001 0.001 1
KILO 720723.836 7589454.201 -2 0.001 0.001 1
